상세검색_서비스분야,상세검색_지원형태,상세검색_신청방법,지원형태,신청기간,접수기관,전화문의,지원대상,선정기준,지원내용,신청방법,제출서류,문의처,관계법령,최종수정일
주거-자립,이용권,방문신청,현물이용권,상시신청,전남하나센터,자치행정과 (☎ 061-286-3542),○ 전라남도에 새로 전입하는 북한이탈주민 및 생계위기 북한이탈주민,,○ 전라남도에 새로 전입하는 북한이탈주민에게 필수 전자제품 등 생계물품 지원 ○ 하나원퇴소 전남 초기 진입 북한이탈주민 지원 ○ 타지역 거주 후 전남 신규진입 북한이탈주민 지원 ○ 위기발생 취약계층 지원,○ 방문 신청타 : 전남하나센터,,,,2022-07-18
주거-자립,이용권,방문신청,이용권,상시신청,주민센터,여성가족과 (☎ 041-840-2581),○ 관외에서 1년 이상 주민등록 후 공주시로 전입하는 자,,○ 지원대상 : 관외에서 1년이상 주민등록 후 공주시로 전입하는 자 ○ 지원금액 : 온누리상품권 3만원 ○ 지원기간 : 전입 즉시 지급,○ 방문 신청 - 주민센터 : 거주지 관할 읍면동 주민센터에 방문 신청,,,,2022-07-08
주거-자립,서비스,타사이트신청,서비스기타,상시신청,시군 여성새로일하기센터,수원영통여성새일센터 (☎ 031-206-1919)성남여성새일센터 (☎ 031-718-6696),"○  사업해당 시군에 거주, 미성년 자녀가 일하는 가정(중위소득 120% 이하)",,○ 여성새일센터를 통해 양성된 정리수납전문가를 일하는 가정에 연계하여 주거공간개선 서비스 제공 및  중장년 여성 일자리 창출,○ 온/오프라인 신청  -  경기도 내 운영중인 시군 소관 여성새일센터로 연락처하여 홈페이지 또는 방문 신청,"건겅보험납부증명서, 재직증명서 등",,,2022-07-04
주거-자립,서비스,방문신청,서비스,매년 4~5월경  ※신청자가 많을 경우 조기 마감될 수 있음,"영통여성새로일하기센터(수원시 영통구 반달로 7번길 40, 평익빌딩 10층)",영통여성새로일하기센터 (☎ 031-206-1919),○ 공고일 기준 아래 3가지 요건이 모두 충족되는 가구   - 수원시에 주소를 두고 실제 거주하는 일하는 가정   - 미성년 자녀(만18세 이하)가 있는 일하는 가정   - 소득인정액이 기준중위소득 120% 이하 기구,,○ 정리수납 전문가를 일하는 가정에 연계하여 주거공간 개선(정리수납) 서비스 제공,"○ 방문 신청 -  영통여성새로일하기센터(수원시 영통구 반달로 7번길 40, 평익빌딩 10층)○ 기타 - 이메일 : sw1919@chol.com - 팩스 : 031-206-1921","-  서비스신청서, 개인정보이용동의서 1부 - 주민등록등본 1부 - 건강보험 납부확인서 1부 - 경제활동 증빙서류(재직증명서, 사업자등록증 등) 1부 ※ 직장건강보험 가입자는 ""경제활동 증빙서류"" 제출 생략 가능",,,2022-08-08
주거-자립,서비스,방문신청,서비스,접수기관 별 상이,시·군·구청,해당지역 시군구청 (☎ 129),○ 장애인거주시설 입소 장애인 및 종사자,"○ 장애인 중 국민기초생활보장수급자 및 부양자가 없거나 부양을 받을 수 없는 자로서 서비스지원 종합조사 결과 충족 및 지자체의 시설 입소 적격성 심사를 거쳐 시설 입소 결정을 받은 자 * 서비스 지원 종합조사 결과 - 중증장애인거주시설 : 성인- 240점 이상, 아동 - 190점 이상 - 장애유형별 거주시설 : 성인-120점 이상, 아동 - 110점 이상 ○ (장애영유아거주시설, 장애인단기거주시설, 장애인공동생활가정은 서비스 지원 종합조사 결과에 관계없이 입소 가능)",○ 시설입소 장애인에 대한 서비스 제공,시군구청을 통해 유선 및 방문 신청,장애인 등록증 등,,,2022-06-15
주거-자립,서비스,방문신청,서비스기타,상시신청,주민센터,경기도 복지사업과 (☎ 031-8008-5684),"○저소득가구 중위소득 50% 이내(독거노인, 장애인 우선)",,"○도내 청소 자활기업이 저소득 취약계층에게 청소 서비스 제공 - 기본청소(먼지제거, 바닥청소) - 주방청소(싱크대청소, 가스레인지 및 후드청소) - 욕실청소(욕실바닥, 세면대 및 변기청소) - 소독·방역(해충구제 및 소독)","○관할 행정복지센터 문의, 신청",,,,2022-07-07
주거-자립,서비스,방문신청,서비스,상시신청,시립강북노인종합복지관,어르신복지과 (☎ 02-901-6717),○ 강북구 내 주거취약 홀몸어르신,,"○ 지역 내 주거취약계층 어르신의 생활환경 개선 및 지원 - 정리정돈, 인식개선교육, 가정 내 시설물 교체 및  개보수 등 ○ 맞춤형 정리정돈 서비스 지원",○ 방문 신청 - 기타 : 시립강북노인종합복지관,,,,2022-07-13
주거-자립,서비스,방문신청,서비스,미정,보조사업자,사회복지과 (☎ 02-3423-5876),○ 저소득 장애인,,"○ 중증장애인의 주거공간 내 무장애 공간 조성을 통한 일상생활 개선 지원- 높낮이 조절 싱크대, 조명제어장치, 스마트 인터폰, 전동빨래건조대 등",○ 방문 신청 - 기타 : 보조사업기관(미정)에 방문 신청,,,,2022-02-16
주거-자립,서비스,방문신청,서비스,상시신청,주민센터,노인장애인과 (☎ 055-749-8502),"○ 장애인활동지원, 중증장애인도우미지원 서비스 이용자 중 서비스 추가 제공이 필요한 장애인",,○ 장애인활동보조 도우미 지원,○ 방문 신청 - 주민센터 : 주소지 관할 읍면동 주민센터에 방문 신청,,,,2021-11-30
주거-자립,서비스,방문신청,서비스,상시신청,시·군·구청,장애인종합지원센터 (☎ 062-349-0952)광주장애인자립생활센터 (☎ 062-384-6462),○ 거주시설 이용 장애인,,○ 자립을 희망하는 시설 장애인들에게 단기 중기 체험 프로그램을 운영하여 지역사회 적응기회 제공 및 자립 동기 부여 제공,○ 방문 신청 - 자립생활지원센터(9개소),,,,2022-07-19
주거-자립,서비스,방문신청,서비스,접수기관 별 상이,시·군·구청,보건복지상담센터 (☎ 129),○ 장애인거주시설(공동생활가정포함) 공통 - 등록장애인으로서 '국민기초생활보장법'에 따른 수급권자 - 수급권자가 아닌 경우라도 등록장애인으로 부양의무자(국민기초생활보장법에 의한 부양의무자를 말함)가 없거나 부양의무자가 있어도 부양능력이 없거나 부양을 받을 수 없는 자 - 입양기관 보호 장애아동 ○ 장애인공동생활가정 특성상  - 장애인거주시설 및 재가장애인으로서 공동생활가정에서 생활하는 것이 재활 및 자립에 더 효과적이라고 인정되는 자 - 사회재활교사의 도움을 받아 공동생활을 하는데 큰 지장이 없는 자,지원대상과 동일,"○ 공동생활가정 이용 장애인 돌봄 및 자립지원 - 장애인들이 스스로 사회에 적응하도록 가정생활, 사회활동 등의 자립생활을 지원","○ 장애인공동생활가정 입소 절차 - 장애인본인 또는 친족, 그 밖의 관계인이 관할 시군구청정에게 신청 - 적격성여부 심사 : 입소대상 자격기준에 합당한 자로서 검진, 상담 또는 가정 실태조사 등을 행하고 장애인복지시설 이용 의뢰서를 작성 - 이용계약 체결 : 시설장은 장애인(가족 포함)에게 해당 시설에서 제공되는 서비스 정보를 제공하고 이용계약 체결 여부에 대해 협의 후 계약을 체결하고 시군구청장에게 보고",장애인등록증,,,2022-06-10
주거-자립,서비스,방문신청,서비스,접수기관 별 상이,외국인종합안내센터,외국인종합안내센터 (☎ 1345),"○ 난민인정 신청자, 인도적 체류허가자, 난민인정자 등",지원대상과 동일,"○ 숙소 및 식사 제공, 일용품 급여, 침구 및 물품 대여, 의료지원, 사회 적응교육 등",체류지 관할 출입국·외국인사무소에 직접 방문 신청,"이용 신청서, 신분증 사본, 가족관계 입증서류, 생활실태 기술서, 건강진단 신청서 등",,,2022-01-19
주거-자립,서비스,방문신청,서비스기타,상시신청,주민센터                                                                                                                                                                                                                                                                        시·군·구청,경기도 복지사업과 (☎ 031-8008-5684),○ 도내 저장강박 의심가구 55세대- 저장강박 의심가구 중 청소를 동의한 가구 우선 선정- 저장강박증의 특성으로 지속적인 사례관리가 가능한 가구 우선 선정,,"○ 저장강박증 의심가구 지원사업 - 저장강박증 의심가구의 열악한 주거환경 개선(폐기물처리, 주거청소, 소독·방역) - 청소자활기업 수행을 통한 자활일자리 창출",관할 행정복지센터 문의,,,,2022-07-01
주거-자립,서비스,방문신청,서비스,2022.03.02~2022.03.24,주민센터,복지정책과 (☎ 031-481-2368),"○ 기준중위소득 50% 이하 비장애인, 기준중위소득 80% 이하 등록장애인",,"❍ 사업근거 : 안산시 주거복지 지원 조례 제7조(주거복지사업)❍ 사업기간 : 2022년 4월 ~ 10월❍ 사업대상 : 6가구 내외(저소득 4가구, 장애인 2가구)  - 국민기초생활수급자 및 중위소득 50%(차상위계층) 이하인 저소득 가구  - 기준 중위소득 80% 이하인 장애인 가구  - 제외대상   · 수선유지급여 수급자(자가거주 주거급여 수급자)   · 햇살하우징, 중증 주택개조사업 등 최근2년 유사사업 지원 가구   · 지역사회 통합돌봄 선도사업 등 타 지원제도 신청 가능자 ❍ 주거형태 : 자가 및 임차주택(* 비주택, 무허가주택, 부분임차 제외)❍ 사업내용 : 도배, 장판, 창호교체, 욕실 개·보수 등       ☞ 가구당 150만원이내(단. 장애인가구 200만원이내)",○ 방문 신청 - 행정복지센터 : 주소지 관할 읍·면·동 주민센터 방문,,,,2022-07-05
주거-자립,서비스,방문신청,서비스,상시신청,주민센터,장애인복지과 (☎ 02-2116-3313),"○ 만19세 이상 장애인활동지원 수급자 중 선정기준에 해당되는 최중증 (고령)독거장애인, 중증  (고령)독거장애인, 성인 발달장애인",,○ 국고보조와 시비추가 지원으로도 활동지원 시간이 부족한 장애인에게 구비추가지원 선정기준 충족시 추가급여 제공,○ 방문 신청  - 주민센터 : 주소지 관할 동주민센터 방문신청 ○ 선정기준 - 지원유형별 연령 및 세부 선정기준 충족,"신청서, 신분증 등",,,2022-02-23
주거-자립,서비스,방문신청,서비스기타,상시신청,시·군·구청,국제협력과 (☎ 063-280-2815),○ 결혼이주여성,,○ 결혼이주여성 대상 초·중·고 학력취득을 위한 검정고시반 운영 ○ 도내 대학·대학원 재학 결혼이주여성 학비 지원,○ 방문 신청 - 시군구 : 관할 시군구 또는 가족센터 방문,,,,2022-07-26
주거-자립,서비스,방문신청,서비스,상시신청,장애인거주시설,사회복지과 (☎ 02-2148-2563),○ 거주시설 퇴소 장애인,,"○ 주거지원, 개인별지원 서비스 등",○ 방문 신청 - 기타 : 장애인거주시설,,,,2022-07-14
주거-자립,서비스,방문신청,서비스,상시신청,서비스 제공기관                                                                                                                                                                                                                                                                                                                        시·군·구청,장애인복지과 (☎ 054-880-3769),○ 재가 발달장애인 중 자립생활 의지가 있으며 단체생활이 가능한 인원,,○ 재가 발달장애인에게 자택 이외에서 주거체험을 통해 자립할 수 있도록 지원,○ 방문 신청 - 시군구 : 시군 장애인복지담당부서 문의 - 기타 : 서비스 제공기관,,,,2021-12-02
주거-자립,서비스,방문신청,서비스,상시신청,시·군·구청,서구청 장애인희망복지과 (☎ 062-360-7310)남구청 장애인복지과 (☎ 062-607-3433),"○ 모든 장애인으로 하며, 시설거주 장애인, 탈시설 장애인, 재가 장애인 등 자립생활을 희망하는 장애인 우선",,"○ 장애인을 대상으로 포괄적인 자립생활 정보제공, 권익옹호 활동, 동료상담, 자립생활기술훈련, 개인별 자립지원, 거주시설 장애인 등에 대한 자립지원 등의 서비스를 통하여 장애인의 자립생활 역량강화 지역사회에서의 다양한 사회참여 활동 지원",○ 방문 신청 - 시군구 : 관할 구청 방문,,,,2022-07-19
주거-자립,서비스,방문신청,서비스,상시신청,명천종합사회복지관,통일부 정착지원과 (☎ 02-2100-5927),"○ 관내 북한이탈주민 중 긴급구호지원·김치나눔(40여명), 긴급지원(위기상황에 놓인자 5명), 취업지원(남한취업이어려운자 5명), 멘토링지원(하나원 퇴소 직후 관내 신규 전입자 1명), 예방접종지원(면역력 낮은 만성질환자 및 노인 20명)",,"○ 긴급구호지원, 긴급지원, 취업지원, 멘토링지원, 예방접종지원, 동절기 김치나눔",○ 방문 신청 - 기타 : 명천종합사회복지관,,,,2021-11-03
주거-자립,서비스,기타,현금서비스,상시신청,개인 신청절차 없음,찾아가는복지과 (☎ 031-8075-3510),○ 자활사업 참여주민,,○ 자활플러스사업 ○ 자립성공지원사업 ○ 자활활성화사업,○ 개인 신청절차 없음 -  고양지역자활센터에서 관련 대상자 발굴하여 신청 안내,,,,2021-12-14
주거-자립,기타,타사이트신청,기타,접수기관 별 상이,"한국토지주택공사;1600-1004, SH공사 홈페이지;1600-3456, LH콜센터;1600-1004, SH콜센터;1600-3456",한국토지주택공사 (☎ 1600-1004),"○ (공통) 무주택세대구성원 ○ 전용면적 85㎡이하인 주택 - 공공주택특별법 시행규칙 제18조에 따라 입주자 선정(단, 소득요건의 50%범위에서 사업주체가 별도로 정할 수 있음)",지원대상과 동일,○ 시세의 80% 수준의 저렴한 임대보증금의 장기전세주택 공급,"방문, 인터넷","주민등록등(초)본가족관계증명서신분증(주민등록증, 운전면허증, 여권)",,,2022-06-30
주거-자립,기타,타사이트신청,기타,상시신청,주민센터,마이홈 콜센터 (☎ 1600-0777),"소득인정액이 기준 중위소득 46% 이내의 가구 ※ 지원형태: 서비스(임차급여, 수선유지급여)","○ 소득 인정액 기준- 소득인정액 기준 중위소득의 46% 이하인 사람ㆍ4인 가구 기준 : 2,355,697원 이하 ※ 지원형태: 서비스(임차급여, 수선유지급여)","○ 현금급여 - 타인의 주택 등에 거주하면서 임대차 계약 등을 체결하고 임차료를 지불하는 자에게    지역별 기준임대료를 상한으로 실제 임차료(월임차료+보증금 환산액) 지원    ㆍ3급지(광역시) 기준 4인 가구 최대 310,000원 지급",읍면동 주민센터에 방문하거나 온라인으로 신청,- 주거급여신청서 - 금융정보 등 제공동의서(부양의무자 포함) - 임대차 계약서 - 소득 재산확인서류 - 제적등본,,,2022-02-25
주거-자립,기타,타사이트신청,기타,접수기관 별 상이,한국토지주택공사: 1600-1004 / LH 공사: 1600-1004 / LH콜센터: 1600-1004,마이홈 콜센터 (☎ 1600-0777),"○ 생계급여·의료급여 수급자, 국가유공자, 일본군위안부 피해자, 지원대상 한부모가족, 도시근로자 월평균소득 70% 이하의 북한이탈주민 및 장애인 등 무주택세대 구성원","○ 지자체 기준에 따라 모집기준 상이 - 국민기초생활보장법상의 생계급여수급자 또는 의료급여수급자 - 유공자 또는 그 유족(참전유공자 유족 제외) 등으로서 수급자 선정기준의 소득인정액 이하이고 영구임대 자산요건을 충족하는 자 - 일본군위안부 피해자       - 지원대상 한부모가족  - 북한이탈주민으로서 전년도 도시근로자 가구당 월평균소득의 70%이하이고, 영구임대 자산요건을 자 - 장애인등록증이 교부된 자(지적장애인ㆍ정신장애인 및 3급 이상의 뇌병변 장애인의 경우에는 그 배우자를 포함)로서 전년도 도시근로자 가구당 월평균소득의 70%이하이고, 영구임대 자산요건을 충족하는 자 - 65세이상 직계존속 부양자로서 수급자 선정기준의 소득인정액 이하인 자(피부양자의 배우자도 무주택자이어야 함) - 아동복지법에 따라 아동복지시설에서 퇴소하는 자로서 아동복지시설의 장이 추천하는 자로서 전년도 도시근로자 가구당 월평균소득의 70%이하이고, 영구임대 자산요건을 충족하는 자 -  65세 이상인 사람으로서 「국민기초생활 보장법」 제2조제1호에 따른 수급권자 또는 같은 조 제10호에 따른 차상위계층에 해당하는 사람 - 전년도 도시근로자 가구당 월평균소득 50%이하인 자로서 영구임대 자산요건을 충족 하는자 - 국토교통부장관 또는 시·도지사가 영구임대주택의 입주가 필요하다고 인정하는 자 - 장애인등록증이 교부된자(지적장애인ㆍ정신장애인 및 3급 이상의 뇌병변 장애인의 경우에는 그 배우자를 포함)로서 전년도 도시근로자 가구당 월평균소득의 100%이하이고, 영구임대 자산요건을 충족하는 자",○ 시세의 30% 수준의 저렴한 임대료의 영구임대주택 공급,"방문, 인터넷",개인정보수집·이용 및 제3자 제공 동의서금융정보 등 제공동의서자산보유 사실확인서주민등록등본,,,2022-01-11
주거-자립,기타,타사이트신청,기타,접수기관 별 상이,한국토지주택공사,한국토지주택공사 (☎ 1600-1004),"<기존주택 전세임대주택 지원사업>○ 일반공급(저소득층) : 입주자 선정기준일에 해당 사업대상지역에 주민등록이 등재된 무주택세대구성원 (1순위) 생계·의료급여 수급자, 한부모가정, 수급권자 또는 차상위계층 중 최저주거기준 미달이거나 소득대비월세 비율이 30%이상인 자, 장애인등록증이 교부된 자(이하 장애인) 중 도시근로자 소득 70% 이하(영구임대 자산기준 충족) (2순위) 도시근로자 소득 50%이하(영구임대 자산기준 충족), 도시근로자 소득 이하인 장애인(영구임대 자산기준 충족) ○ 우선공급(공급물량의 5% 이내) - 시장 등이 긴급히 주거지원이 필요하다고 인정하는 부도공임퇴거자 - 기금대출 및 보증발급이 거절된 도시근로자 월평균 소득(이하 도시근로자 소득)의 50%이하인 무주택세대구성원(공임 한정) - 수급권자 또는 차상위계층 중 최저주거기준 미달하고 소득대비월세 비율이 30%이상인 자  ○ 우선공급(공급물량의 2% 이내)  - 국가유공자(유족), 민주유공자(유족), 특수임무유공자(유족), 참전유공자 중 도시근로자 소득의 70% 이하(영구임대 자산기준 충족)  ○ 긴급지원 - 긴급지원대상자로 선정된 사람 중 시장등이 주거지원이 필요하다고 인정하여 시행자에게 통보한 자 - 일반공급 1순위자 중 시장 등이 주거지원이 시급하다고 판단하는 자 - 공공임대주태사업을 위해 주택의 대금을 10년이상 매월 분할하여 지급받고 주택을 매도 2년 이내인 월평균소득 이하인 자 - 재해구호법 등에 따른 이재민 등 지자체장이 긴급히 주거지원이 필요하다고 인정하는 자  ○ 그룹홈공동생활가정 운영기관(장애인, 보호아동, 노인, 한부모, 성·가정폭력 피해자, 탈성매매여성, 가출청소년, 갱생보호자, 아동복지시설퇴소자, 북한이탈주민, 노숙인 등) ○ 청년 (대학생, 취업준비생, 19∼39세) - 해당대학 소재지 이외의 시·군 또는 해당 대학 소재지 시·군 안에서 교량 등으로 연륙되지 않은 섬지역 출신 대학생 및 대학 또는 졸업하거나 중퇴한 후 2년 이내인 사람(취업준비생)  (1순위) 타지역 출신으로 일반공급 1순위 가구의 청년  (2순위) 타지역 출신으로 본인과 부모의 도시근로자 소득 100%(장애인 150%) 이하(행복주택 대학생 자산기준 충족)  (3순위) 타지역 출신으로 본인과 부모의 도시근로자 소득 100%(장애인 150%) 이하(행복주택 대학생 자산기준 충족)  (4순위) 본인의 도시근로자 소득 80%(세대원이 있는 세대주인 경우 세대 100%) 이하(행복주택 청년 자산기준 충족) ○ 신혼부부 (혼인7년이내, 예비부부, 6세이하 자녀를 둔 한부모가족) ( 신혼Ⅰ) 도시근로자 소득 70%(맞벌이 90%) 이하인 자(국민임대 자산기준 충족) - 유자녀 1순위, 무자녀 및 예비부부 2순위  ( 신혼Ⅱ) 도시근로자 소득 100%(맞벌이 120%) 이하인 자(행복주택 신혼부부 자산기준 충족) - 유자녀 1순위, 무자녀 및 예비부부 2순위 <소년소녀가정 등 전세주택 지원사업 지원대상>○ 소년소녀가정, 교통사고유자녀가정(교통안전공단 추천), 대리양육가정, 친인척위탁가정, 아동복지시설 퇴소자 중 월평균소득 100% 이하인 무주택세대구성원 <주거취약계층 주거지원사업 전세임대주택 지원대상>○ 쪽방, 고시원, 여인숙, 비닐하우스, 노숙인시설, 컨테이너 등에 3개월 이상 거주하는 사람 또는 법무부장관이 통보한 범죄피해자 중 해당 무주택세대구성원으로 월평균소득 50% 이하(영구임대주택 자산 기준 이하)인 자","○ 무주택세대구성원(주택공급에 관한 규칙 제2조) : 세대별 주민등록표 세대주, 세대원(세대주의 배우자, 직계존비속) 및 다음의 사람 전원이 주택을 소유하고 있지 아니한 세대의 세대주 및 세대원 - 주택공급을 신청하려는 세대주 또는 세대원의 배우자이면서 해당 세대주 또는 세대원과 세대별 주민등록표상에 함께 등재되어 있지 아니한 사람 - 주택공급을 신청하려는 세대주 또는 세대원의 직계존비속으로서 가목의 배우자와 동일한 세대를 이루고 있는 사람 - 주택공급을 신청하려는 세대주의 직계비속인 세대원의 배우자로서 해당 세대원과 동일한 세대를 이루고 있는 사람 - 주택공급을 신청하려는 세대원의 직계존속으로서 해당 세대원과 동일한 세대를 이루고 있는 사람 ○ 소득, 자산 기준(공공주택 업무처리지침 기준) - 소득기준 : 무주택세대구성원의 전년도 도시근로자 가구당 월평균 소득(통계청 자료)  〮 소득 50% : 1인 1,495,816원, 2인 2,281,268원, 3인 3,120,260원, 4인 3,547,103원, 5인 3,547,103원  〮 소득 70% : 1인 2,094,142원, 2인 3,193,775원, 3인 4,368,364원, 4인 4,965,944원, 5인 4,965,944원  〮 소득 100%  : 1인 2,991,631원, 2인 4,562,535원, 3인 6,240,520원, 4인 7,094,205원, 5인 7,094,205원  (6인 이상은 1인 추가시 384,376원 합산) ○ 자산기준 : 공공주택특별법 시행규칙 제13조 제2항에 따라 국토교통부장관이 정함 - 영구임대주택  〮 총자산 가액 : 21,500만원  〮 자동차 가액 : 3,496만원  - 국민임대주택  〮 총자산 가액 : 29,200만원  〮 자동차 가액 : 3,496만원",○ 저소득계층이 거주를 원하는 기존주택을 선정하고 공공사업자가 기존주택 소유자와 전세계약을 체결후 저렴하게 재임대,"방문, 인터넷",전세임대주택 공급신청서신분증주민등록등본(주민등록이 분리된 배우자 포함)개인정보 수집이용 및 제3자 제공 동의서,,,2022-01-07
주거-자립,기타,타사이트신청,기타,접수기관 별 상이,한국토지주택공사: 1600-1004 / SH공사 홈페이지: 1600-3456 / 기타 행복주택 입주자 모집을 추진하는 각 지방자체단체 혹은 지방공사 / 국토교통부: 1599-0001,한국토지주택공사 (☎ 1600-1004),"○ 대학생, 청년, (예비)신혼부부, 한부모가족 ○ 고령자 ○ 주거급여수급자 ○산단근로자","○ 청년   - 미혼인 무주택자로서 19~39세에 속하거나 소득이 있는 업무 5년 이내인 사람 또는 퇴직 후 1년 이내의 자 중 구직급여 수급 자격이 있는 자 또는 예술인   - (소득) 세대 소득이 평균 소득의 100% 이하(세대원주가 아닌 세대원일 경우에는 본인 월평균소득이 평균소득 100%이하,      단1인가구:120%, 2인가구:110%이하로 적용)   - (자산) 본인(본인이 세대주인 경우 세대내) 총자산 2.88억원, 자동차 0.3557억원 ○ (예비)신혼부부, 한부모 가족   - (신혼부부) 무주택 세대구성원으로서 혼인기간 7년이내 또는 6세이하 자녀를 둔 사람    - (예비 신혼부부) 혼인을 계획중이며, 혼인으로 구성될 세대의 구성원 모두 무주택자인 사람   - (한부모가족) 6세이하(태아포함)의 자녀를 둔 무주택세대구성원   - (소득)세대소득이 평균소득의 100% 이하(1인가구:120%, 2인가구:110%, 2인가구 맞벌이부부:130%, 3인이상가구 맞벌이부부:120%이하)   - (자산)세대내 총자산 3.25억원, 자동차 0.3557억원 ○ 주거급여 수급자  - 무주택세대구성원으로서 해당 지역에 거주하는 주거급여수급 대상자인 사람  - (소득)세대소득이 중위소득의 46% 이하  - (자산)소득인정액 평가 시 반영 ○ 고령자  - 무주택세대구성원으로서 해당 지역에 거주하는 65세 이상인 사람  - (소득)세대소득이 평균소득의 100% 이하(1인가구:120%, 2인가구:110%이하)  - (자산)세대내 총자산 3.25억원, 자동차 0.3557억원 ○ 산단근로자  - 무주택세대구성원으로서 인근(연접지역 포함) 산업단지의 입주기업 등에 재직중인 사람  - (소득)세대소득이 평균소득의 100% 이하              (1인가구:120%, 2인가구:110%, 2인가구 맞벌이부부:130%, 3인이상가구 맞벌이부부:120%이하)  - (자산)세대내 총자산 3.25억원, 자동차 0.3557억원",○ 시중 시세의 60~80% 수준으로 주택공급,"방문, 인터넷",개인정보 수집 제공 활용 동의서금융정보 등 제공동의서자산보유 사실확인서주민등록등본기타 입주가격 증명서류,,,2022-06-30
주거-자립,기타,타사이트신청,기타,접수기관 별 상이,한국토지주택공사,한국토지주택공사 (☎ 1600-1004),"○ 국민임대주택 입주자격을 갖춘 무주택세대 구성원 ○ 우선 공급 - 사업 지구 철거민 등 - 장애인 등 - 3자녀 이상 - 국가유공자 등 - 영구임대 퇴거자 - 비닐 간이공작물 거주자 - 신혼부부 ○ 일반공급 - 전용 50㎡ 미만  · 입주자 모집공고일 현재 무주택 세대 구성원으로 도시근로자 월평균 소득 70% 이하인 자. 단, 월평균 50% 이하인 자 우선 공급 - 전용 50㎡~60㎡   · 입주자 모집공고일 현재 무주택 세대 구성원으로 도시근로자 월평균 소득 70% 이하인 자. - 전용 60㎡ 초과  · 입주자 모집공고일 현재 무주택 세대 구성원으로 도시근로자 월평균 소득 100% 이하인 자. ○ 무주택세대주로서 소득 71% 이하 등 기준 충족자",지원대상과 동일,○ 시세보다 저렴한 임대주택 공급,"방문, 웹사이트","○ 공통서류 - 주민등록등본, 초본, 가족관계증명서 등 ○ 우선 공급 - 장애인 등 신청자격을 증빙하는 서류 등",,,2022-01-11
