상세검색_서비스분야,상세검색_지원형태,상세검색_신청방법,게시글_id,게시글_url,제목,요약,지역상위,지역하위,지원형태,신청기간,접수기관,전화문의,지원대상,선정기준,지원내용,신청방법,제출서류,문의처,최종수정일,스크랩시간
고용-창업,현물,타사이트신청,560000000113,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/560000000113?administOrgCd=ALL,포천청년 키움옷장(정장대여),,경기도,포천시,현물,2022.01.03~2022.12.23,,포천시 일자리경제과 (☎ 031-538-2562),○ 신청일 현재 포천시에 주민등록을 두고 있는 만19세 이상~만39세 이하 청년 구직자,,"○ 지원내용 : 정장무료대여○ 대여횟수 : 제한없음○ 대여기간 : 3박4일○ 대여물품 : 남자(자켓, 바지, 셔츠, 구두, 벨트, 타이), 여자(자켓, 스커트, 또는 바지, 블라우스, 구두)","○ 온라인 신청 - 경기도 잡아바 : apply.jobaba.net 가입 후 진행 - 구비서류 : 초본(공공마이데이터 이용 동의), 면접증빙 서류","○ 주민등록초본(최근 5년 주소변동사항 포함)○ 면접증빙서류(회사명, 면접일시와 장소 등이 기재된 면접통보 문자 또는 이메일 캡쳐본 등)",포천시 일자리경제과 (☎  031-538-2562),2022-07-05,202210061351
고용-창업,현물,타사이트신청,397000000104,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/397000000104?administOrgCd=ALL,청년옷장,,경기도,과천시,현물,상시신청,온라인신청,복지정책과 (☎ 02-3677-2867),"○ 신청열 현재, 과천시에 주민등록을 둔 만19세-39세의 구직청년",,○ 구직청년에게 면접용 정장 무료 대여 서비스 추진,○ 온라인 신청 - 잡아바 : apply.jobaba.net,,복지정책과 (☎  02-3677-2867),2022-02-03,202210061351
고용-창업,현물,타사이트신청,142000000010,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/142000000010?administOrgCd=ALL,중장년 기술창업센터,"경력, 네트워크, 전문성을 보유한 중장년의 기술창업 활성화를 위한 교육 및 창업 거점 지원",중앙부처,,현물기타,접수기관 별 상이,창업진흥원 창업저변부,창업진흥원 창업인프라조성실 (☎ 044-410-1931)창업진흥원 창업인프라조성실 (☎ 044-410-1922),만 40세 이상 (예비) 창업자,"중장년 기술 창업센터 입주기업 심사 기준 - 사업 계획서(업종 및 창업 동기, 기술 개발의 실현 가능성, 사업화 가능성, 파급효과, 매출 실현 가능성), 창업 역량(동업 종 경력, 사전 준비 및 교육실적)","중장년 (예비)창업자를 선발하여 기술창업센터 공간, 교육, 전문가 상담·자문 등 제공",K-스타트업 홈페이지(www.K-startup.go.kr) 참조,회원가입 신청 및 사업계획서 등 제출,창업진흥원 창업인프라조성실 (☎  044-410-1931)창업진흥원 창업인프라조성실 (☎  044-410-1922),2022-06-17,202210061351
고용-창업,현물,타사이트신청,999000000086,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/999000000086?administOrgCd=ALL,창업존 운영,미래 신산업 분야 유망 창업기업을 발굴하여 입주공간 제공 및 보육 프로그램을 통한 성장 지원,중앙부처,,현물기타,접수기관 별 상이,창업진흥원 창업인프라조성실,창업진흥원 창업인프라조성실 (☎ 044-410-1921)경기창조경제혁신센터 판교창업존 (☎ 070-4164-8950),예비창업자 및 창업 7년 이내 기업,"사업계획서, 사업아이템 기술성, 창업자 역량 및 의지, 시장성, 사업성 등","창업기업을 선발하여 창업존 공간, 인프라 및 네트워킹 등 지원",K-스타트업 홈페이지(www.K-startup.go.kr),"사업계획서, 사업자등록증(해당시), 법인등기부등본(해당시), 국세/지방세 납세증명서, 4대보험가입자명부 등",창업진흥원 창업인프라조성실 (☎  044-410-1921)경기창조경제혁신센터 판교창업존 (☎  070-4164-8950)창업진흥원 창업인프라조성실 (☎  044-410-1925)창업진흥원 창업인프라조성실 (☎  044-410-1928),2022-06-13,202210061351
고용-창업,현물,타사이트신청,SD0000004139,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/SD0000004139?administOrgCd=ALL,정보보호기업 맞춤형 수출 지원,"국내 정보보안ㆍ물리보안 기업의 해외진출 지원을 위한 마케팅, 컨설팅 및 현지화 지원",중앙부처,,현금현물,접수기간 별도 공지(www.kisa.or.kr),한국인터넷진흥원,한국인터넷진흥원 (☎ 061-820-1117),"○ 국내 정보보호(정보보안, 물리 보안, 융합보안 등) 중소ㆍ중견기업, 법인만 가능  - 중소기업은 『중소기업 기본법 제2조 및 같은 법 시행령 제3조』에 해당하는 기업  - 중견기업은 『중견기업 성장촉진 및 경쟁력 강화에 관한 특별법 제2조의1』에 해당하는 기업","○ 국내 정보보호(정보보안, 물리 보안, 융합보안 등) 중소ㆍ중견기업, 법인만 가능  - 중소기업은 『중소기업 기본법 제2조 및 같은 법 시행령 제3조』에 해당하는 기업  - 중견기업은 『중견기업 성장촉진 및 경쟁력 강화에 관한 특별법 제2조의1』에 해당하는 기업","○ 정보보안/물리보안 기업의 해외인증(국제표준, 선진국 보안인증, 필수인증 등) 획득 지원 ○ 정보보호 제품 해외 현지화를 위한 브로슈어, 매뉴얼, 현지인 교육 등 지원 ○ 해외 판로 개척을 위한 비즈니스 상담회 참가 지원",KISA 전자계약시스템(http://cont.kisa.or.kr)으로 제출,"(온라인제출자료) 사업 신청서, 수행계획 요약서, 수행계획서, 중소ㆍ중견기업확인서",한국인터넷진흥원 (☎  061-820-1117),2022-01-21,202210061351
고용-창업,현물,타사이트신청,149200000055,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/149200000055?administOrgCd=ALL,장애인 고용시설 장비 지원,"장애인의 노동생산성 향상 및 고용안정을 도모하기 위해 사업주에게 장애인 고용에 필요한 편의시설, 통근용 승합자동차 구입비용을 지원",중앙부처,,현금현물,수시신청(예산소진시까지),한국장애인고용공단,한국장애인고용공단 (☎ 1588-1519),○ 장애인을 고용하여 사업을 운영하고 있거나 사업을 운영하고자 하는 모든 사업주,"○ 지원대상과 동일  - (우대사항) 법 제24조에 따른 장애인고용 우수사업주, 장애인 고용률이 높은 사업주, 중증및여성장애인을 다수 고용하고 있는 사업주","○ 장애인용 편의시설, 통근용 승합차 구입 비용을 사업주 당 3억원 이내에서 무상지원  - 지원에 따른 의무    ① 장애인용으로 제작된 편의시설 지원: 지원금 1천만원당(중증장애인의 경우 1천5백만원) 장애인 1명을 2년간 고용유지   ② 통근용 승합차: 지원금 2천만원 이내인 경우는 10명이상의, 2천만원초과 4천만원 이내인 경우는 20명 이상의 장애인을 2년간 해당 사업장에 고용유지     ※ 재택근무 작업장비 설치, 구입, 수리비의 경우 사업주당 3천만원 이내, 장애인 1인당 3백만원 이내 지원","○ 방문 : 소재지 관할 공단 지사○ 우편, 웹사이트, FAX","지원신청서, 투자계획서 등",한국장애인고용공단 (☎  1588-1519),2022-06-13,202210061351
고용-창업,현물,타사이트신청,647000000127,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/647000000127?administOrgCd=ALL,청년근로자 행복카드 지원,,경상북도,,현물,상시신청,온라인신청,청년정책관 (☎ 054-880-2760),○ 경북도내 중소기업에 근무 중인 만 19세 ~ 39세 청년,,○ 1인당 복지포인트 100만원 지원(1인 1회 한정)  ※ 예산소진 시까지 선착순 모집,○ 온라인 신청 - 경북일자리종합센터 : www.gbjob.kr,,청년정책관 (☎  054-880-2760),2022-07-07,202210061351
고용-창업,현물,방문신청,149200000031,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/149200000031?administOrgCd=ALL,장애인 보조공학기기 지원,장애인이 작업을 효율적으로 수행할 수 있도록 보조공학기기를 지원하여 장애인의 안정적ㆍ지속적 직업생활을 지원,중앙부처,,현물,상시신청(예산 소진시 까지),한국장애인고용공단,한국장애인고용공단 (☎ 1588-1919),"○ 장애인을 고용하거나 고용하려는 사업주, 장애인인 사업주(4인 이하 규모의 1인 장애인 사업주 제외), 장애인 근로자(자동차 개조 및 차량용 보조공학기기 지원에 한정), 장애인 공무원","○ 지원방식  - 고용유지조건: 취득가액 또는 잔존가액이 1백만원 이상 기기  - 무상지원: 소프트웨어, 취득가액 또는 잔존가액이 1백만원 미만 기기, 개조 또는 주문 제작된 기기 ○ 지원내용  1) 보조공학기기    - 고용유지조건: 장애인 1인당 물품가액 1천만원(중증 1천5백만원) 이내    - 무상지원: 장애인 1인당 물품가액 3백만원(중증 5백만원) 이내 2) 차량용보조공학기기    - 고용유지조건: 장애인근로자 신청시 장애인 1인당 물품가액 1천5백만원 이내, 사업주 신청시 장애인 1인당 1천만원(중증 1천5백만원) 이내","○ 장애인의 직업생활에 필요한 작업 보조공학기기 또는 장비를 지원(73개 품목)  ○ 장애인의 직업생활에 필요한 작업 보조공학기기 또는 장비를 지원(74개 품목) ○ 지원 품목  - 정보 접근 제품 점자정보 단말기, 탁상형 점자출력기, 휴대용 점자출력기, 탁상형 확대기, 휴대용 확대기, 특수 키보드 및 시계 등  - 작업기구 제품 : 일반형 높낮이 조절 작업 테이블, 작업용의자, 작업물운반기기 등  - 의사소통 제품 : 신호기기, 영상전화기, 소리증폭기, 의사소통보조기기 등  - 사무보조 제품 : 팔 지지대, 필기 보조도구, 독서보조도구, 욕창방지방석 등  - 맞춤보조공학기기 : 장애인의 장애 특성 및 업무환경에 적합한 보조공학기기를 개조 및 제작하여 지원 - 차량용 보조공학기기 : 핸드 컨트롤러, 좌측 엑셀 페달, 램프, 리프트, 크레인 등","한국장애인고용공단에 방문, 팩스, 우편으로 신청","지원 신청서, 장애인임을 입증하는 서류, 근로자 또는 공무원임을 입증하는 서류, 사업자등록증 사본,  자동차등록증(자동차 개조 및 차량용 보조공학기기 경우), 운전면허증(자동차 개조 및 차량용 보조공학기기, 장애인 근로자 또는 공무원이 운전하는 경우)",한국장애인고용공단 (☎  1588-1919),2022-06-13,202210061351
고용-창업,현물,방문신청,427000000226,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000226?administOrgCd=ALL,소상공인 포장지 제작 지원,,강원도,영월군,현물,2022년 중(별도 공고),영월군청(경제고용과)                                                                                                                                                                                                                                                                                                                        시·군·구청,경제고용과 (☎ 033-370-2928),○ 소상공인,,○ 대상 : 관내 소상공인 ○ 지원 : 포장지 제작 지원,○ 방문 신청 - 시군구 : 주소지 관할 군청 방문 신청,,경제고용과 (☎  033-370-2928),2022-07-15,202210061351
고용-창업,현물,방문신청,149200000050,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/149200000050?administOrgCd=ALL,국가기술자격 검정시설 및 장비 구입자금 지원,국가기술자격 검정시설 및 장비 구입 지원금의 결정 및 지급,중앙부처,,현금현물,접수기관 별 상이,한국산업인력공단 고객센터,한국산업인력공단 고객센터 (☎ 052-714-8372),○ 국가기술자격 검정시설 사용기관,지원대상과 동일,"○ 국가기술자격 검정시설 및 장비의 구입 비용지원 금액은 직접적으로 소요되는 총 비용의 100분의 50 이내로 하고, 이 경우 비용지원 금액은 지원대상기관별로 3억원을 한도로 해당 검정시설 및 장비의 설치, 구입에 소요되는 총 비용의 100분의 30을 초과할 수 없다.- 비용지원이 되는 검정시설, 장비 구입비용은 다음과 같다.  · 검정시설 : 신축인 경우 1,000만원 이상, 개보수인 경우 500만원 이상  · 검정장비 : 대(세트)당 100만원 이상, 다만, 물품관리법 시행규칙 제25조에 따른 조달청 고시에 의한 내용연수 5년 미만의 장비는 제외",국가기술자격검정업무를 위탁받아 수행하는 기관의 장에게 신청,"국가기술자격 검정 시설 및 장비 공동 구입자금 신청서, 국가기술자격 검정 시설 및 장비자금 구입계획서",한국산업인력공단 고객센터 (☎  052-714-8372),2022-01-19,202210061351
고용-창업,현물,방문신청,149200000057,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/149200000057?administOrgCd=ALL,장애인 고용관리 비용 지원,○ 장애인 근로자의 적정한 고용관리를 유지하는 데 필요한 작업 지도원을 사업장에 위촉·배치하는데 소요되는 비용을 지원하는 제도,중앙부처,,현물서비스,수시신청(예산소진시까지),한국장애인고용공단,한국장애인고용공단 (☎ 1588-1519),"○ 중증 장애인을 고용하여 기준에서 정한 자격을 갖춘 작업지도원을 위촉, 선임, 배치하여 작업 지도를 실시한 사업주","○ 국가 또는 지방자치단체가 설치한 장애인 관련 시설이나 사회복지법인 기타 비영리법인이 설치한 장애인복지시설(법인 포함)은 지원 대상에서 제외 ○ 고용관리 비용 신청은 수급자격을 인정받은 날이 속하는 달의 다음 달부터 6개월 단위로 신청 가능하며, 신청자격이 발생한 날부터 1년 이내에 신청하여야 함","○ 지원 기준:- ­ 지급요건 사업주가 중증 장애인 근로자를 사업장당 상시 1명 이상 수급자격 인정 신청일 이전 90일 이내 새로이 고용하고 해당 사업장에 배치된 작업지도원으로 하여 장애인 근로자 1명당 월 12시간 이상 작업 지도를 실시한 경우 해당 사업주에게 지급(단, 작업지도원 1명당 관리 대상 장애인은 5명을 초과할 수 없음) ○ 지급액 : 대상 장애인 1인당 월 14만 원(단, 최저임금 미만은 1/2) ○ 지원 기간 : 공단 평가 결과에 따라 최대 3년간 지원 ○ 작업지도원 자격 기준 - 법 제75조의 규정에 따른 장애인 직업생활상담원 등 전문 요원 양성과정을 이수한 자 및 사회복지사업법 제11조에 따른 사회복지사 자격증서 소지자. - 재활, 교육, 심리, 의료, 기술, 사회사업분야 및 중증 장애인 근로자의 작업과 관련된 분야의 전문학사 학위 이상 소지자 - 고등학교 졸업 이상의 학력이 있는 자로서 장애인복지법에 의한 장애인복지시설 기타 장애인과 관련된 기관, 단체에서 장애인 관련 업무에 2년 이상 종사한 자 - 작업지도 대상 장애인 근로자가 수행할 업무에 1년 이상 종사한 자","○ 방문, 우편, 팩스 - 사업장 소재지 관할 공단 지역본부 및 지사 ○ 신청 시기 및 연락처 - 신청 시기 : 연중 수시(예산 소진 시까지) - 접수처 : 사업장 소재지 관할 지역본부 및 지사",○ 제출서류 - 고용관리 비용 수급자격 인정 신청서 - 고용관리 비용 지급 신청서 - 업무 수행에 대한 사업주 확인서 - 고용관리 비용 관련자 활동 일지 - 장애인 근로자 명부,한국장애인고용공단 (☎  1588-1519),2022-06-13,202210061351
고용-창업,현물,방문신청,407000000113,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/407000000113?administOrgCd=ALL,여성 창업 초기물품 지원,,경기도,이천시,현물,상시신청,이천여성새로일하기센터,여성정책과 (☎ 031-645-3618)이천여성새로일하기센터 (☎ 031-632-1982),○ 이천시 관내 거주 여성 (필수)   ○ 새일센터를 통해 창업한 여성(필수)     ○ 사업장이 이천시 관내 위치(필수),,○ 이천시 여성을 대상으로 하여 창업 초기시 물품 구입금 지원  ※ 서류 제출 → 심사 후 선정,○ 방문 신청 - 기타 : 이천 여성새로일하기센터,,여성정책과 (☎  031-645-3618)이천여성새로일하기센터 (☎  031-632-1982),2021-11-22,202210061351
고용-창업,현물,방문신청,363000000105,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/363000000105?administOrgCd=ALL,사회활동 촉진수당,,광주광역시,광산구,현물,상시신청,종합사회복지관,복지정책과 (☎ 062-960-3915),○ 영구임대아파트에 주민등록상 주소를 두고 거주하는 사람 - 공공일자리 근로자는 참여 불가,,"○ 영구임대아파트 입주민들의 마을 활동 참여를 통한 사회활동 촉진수당 지급 - 안부살핌, 지역환경 개선 등 매 활동 후 포인트 적립(월 최대 50,000 포인트) - 1개월 적립 포인트를 정산하여 지역상품권(온누리상품권 등)으로 지급",○ 방문 신청 - 기타 : 관할 종합사회복지관,,복지정책과 (☎  062-960-3915),2022-01-25,202210061351
고용-창업,현물,방문신청,488000000138,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/488000000138?administOrgCd=ALL,가업승계 청년 지원,,전라남도,고흥군,현물,접수기관 별 상이,주민센터,인구정책과 (☎ 061-830-5401),"○ 만 19세 ~ 49세 이하, 본인과 (조)부모 주민등록상 주소지가 고흥군이면서 가업승계를 희망하는 자",,"○ 가업승계 청년 기반확보에 필요한 농축산 시설물 설치, 개보수 및 사업장(점포) 시설 개선 및 홍보물품 제작비 등 지원(2천만원)",○ 방문 신청 - 주민센터 : 주소지 관할 읍면동 주민센터에 방문 신청,,인구정책과 (☎  061-830-5401),2022-02-09,202210061351
고용-창업,현물,방문신청,443000000120,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/443000000120?administOrgCd=ALL,향수OK카드 결제수수료 지원,,충청북도,옥천군,현물,상시신청,시·군·구청,옥천군 경제과 (☎ 043-730-3362),○ 관내소상공인,,○ 옥천군에 사업장 소재지를 두고 있는 향수OK카드 결제 가맹점에게 업체당 최대 50만원 이내 결제수수료 지원,○ 방문 신청 - 시군청 : 관할 시군청으로 신청,"개인정보 수집·이용 동의서, 사업자등록증 사본, 신분증 사본, 옥천사랑상품권 사본",옥천군 경제과 (☎  043-730-3362),2022-07-11,202210061351
고용-창업,현물,방문신청,427000000235,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/427000000235?administOrgCd=ALL,모범음식점 인센티브 지원,,강원도,영월군,현금현물,하반기(모범음식점 신청업소 모집공고),영월군청 환경위생과(위생팀) 또는 한국외식업중앙회 강원도지회 영월군지부,환경위생과 (☎ 033-370-2634),○ 관내 일반음식점 중 모범업소로 지정된 음식점,,"○ 상수도 사용요금 및 지하수 수질검사 비용 지원 - 지원금액 : 매 분기별 상수도요금(월 징수요금의 30%, 월 20만원 한도) 및 지하수 수질검사 비용(매년) ※ 매 분기 기준 상수도 요금 체납액이 없는 업소 - 지원방법 : 매 분기 익 월말 계좌이체 ○ 쓰레기 종량제 봉투(50L기준) 지원 - 지원수량 : 업소별 월 20매(분기 60매)  - 지원방법 : 업소 방문배부(소비자식품위생감시원 협조)",○ 방문 신청  - 영월군청 환경위생과(위생팀) 또는 한국외식업중앙회 강원도지회 영월군지부 방문 신청,,환경위생과 (☎  033-370-2634),2022-06-14,202210061351
고용-창업,현물,방문신청,491000000125,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/491000000125?administOrgCd=ALL,음식점 시설개선·입식테이블 설치 지원,,전라남도,장흥군,현물,상시신청,외식업중앙회 장흥군지부,보건소 (☎ 061-860-6452),"○ 입식테이블 2set(1set: 테이블 1개, 의자 4개) 이상 설치 희망 업소 ○ 3년 이상 일반음식점 운영 영업자(호프, 소주방 등 주점형태 제외) ○ 임차인일 경우 2년 이상 계약된 업소 ○ 행정처분 후 3년 지난 업소, 국세·지방세 체납되지 않은 업소",,"○ 서비스내용 : 음식점 입식테이블 설치 지원 ○ 서비스금액 - 지원상한액(자부담제외) : 입식테이블 200만원 - 보조율 : 보조금 50%, 자부담 50%",○ 방문 신청 - 기타 : 외식업중앙회 장흥군지부 - 보건소 : 보건소 방문 신청,,보건소 (☎  061-860-6452),2022-06-14,202210061351
고용-창업,이용권,타사이트신청,642000000712,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000712?administOrgCd=ALL,강원도 청년구직활동 지원,,강원도,,이용권,"2022년도 참여자('22년 1/4분기 모집, 2/4분기 모집 예정)",강원도일자리재단(https://www.gwjob.kr/gwjob),강원도일자리재단 (☎ 033-256-9575)강원도청 (☎ 033-249-4332),"○ 강원도 거주, 최종학력 기준 졸업(중퇴), 만18세~39세이하 미취업 청년 -최근 3개월 가구소득액 평균이 기준중위소득 120%초과 ~ 150%이하(만18세~34세 이하), 기준중위소득 150%이하(만35세~39세 이하)",,"○ 지원내용 - 청년구직활동 지원금 : 월 50만원 × 6개월(1인당 최대 300만원) ○ 지원방식 : 온라인 포인트 배정 및 체크카드 사용 후 환급방식  - 카드 발급 : 지원금 전용체크카드(강원청년카드) 발급,  체크카드 우선 지출 → 사용 승인 신청 → 검토 및 승인 → 포인트 차감 → 사용금액 환급 - 포인트 지급 : 1인당 매월 50만 포인트 배정(매월 1일), 복지몰(현대이지웰) 연계상품 포인트로 결제, 포인트 즉시 차감",○ 온라인 신청  - 강원일자리정보망(https://www.gwjob.kr/gwjob) 접속 후 홈페이지 상단의 '지원정책 > 지원사업신청 > 청년구직활동지원' 순서로 이동 및 신청,"상세 구비서류 강원일자리정보망 참조(https://www.gwjob.kr/gwjob 접속 후, 지원정책-지원사업신청-청년구직활동지원)",강원도일자리재단 (☎  033-256-9575)강원도청 (☎  033-249-4332),2022-07-07,202210061351
고용-창업,이용권,타사이트신청,627000000128,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/627000000128?administOrgCd=ALL,청년사회진입 활동지원금 지원,,대구광역시,,이용권,"2022.02.20.~11.25.(단, 모집인원 초과 시 선착순 마감)",온라인신청,청년정책과 (☎ 053-803-2972),○ 대구시 주소 만 19세~34세 미취업 청년 - 가구 기준중위소득 150% 이하(건강보험료 납부액 기준),,○ 상담연결형 : 상담(1회) 후 사회진입활동비(30만원) 지원 ○ 진로탐색지원형 : 프로그램(1~2개월) 수료 후 갭이어 활동비(150만원) 지원,○ 온라인 신청 - 청년사회진입활동지원시스템 : https://youthdream.daegu.go.kr/ 회원가입 후 신청,,청년정책과 (☎  053-803-2972),2022-07-19,202210061351
고용-창업,이용권,타사이트신청,642000000731,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000731?administOrgCd=ALL,여성구직활동 지원,,강원도,,이용권기타,매년 초(1~2월),온라인신청,여성장애인일자리과 (☎ 033-249-4346),"○ 만 40세 이상 ~ 59세 이하, 기준중위소득 150% 이하이며, 강원일자리정보망에 구직 등록한 미취업 여성",,"○ 지원대상 : 만 40세 이상 ~ 59세 이하, 기준중위소득 150% 이하이며, 강원일자리정보망에 구직 등록한 미취업 여성    * 생애 1회 지원 ○ 지원내용 : 취업 준비에 필요한 구직활동비 지원(교육비, 도서구입비, 자격증 취득비, 면접활동비 등) ○ 지원방식 : 온라인 포인트 배정‧사용, 오프라인(체크카드)사용 후 환급 ○ 지원금액 : 1인당 최대 300만 원(월 50만 원 × 6개월)  - 지원금 수급 중 취·창업에 성공하여 3개월 근속(영업)한 경우, 취·창업 성공금 현금 50만원 지원    * 지원금 전액 수급한 경우는 성공금 지급 제외",○ 온라인 신청  - 강원일자리정보망 : https://job.gwd.go.kr/gwjob,"주민등록초본, 주민등록등본, 가족관계증명서, 건강보험 자격확인서, 건강보험료 납부확인서, 고용보험자격(상용)이력내역서, 개인정보 수집·제공·활용 동의서",여성장애인일자리과 (☎  033-249-4346),2022-07-14,202210061351
고용-창업,이용권,타사이트신청,SD0000001491,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/SD0000001491?administOrgCd=ALL,소상공인 역량강화 지원,분야별 전문가를 활용한 맞춤형 컨설팅과 법률지원을 통해 소상공인 경영환경 개선 및 안정적 영업기반 등 확보,중앙부처,,이용권,’22. 1. 5.(수) ~ 예산 소진 시까지,소상공인시장진흥공단,소상공인시장진흥공단 (☎ 042-363-7833),소상공인 및 예비창업자,소상공인 정책 자금 지원 제외 업종을 영위하는 소상공인은 제외,"○ 마케팅, 경영관리, 상품 및 메뉴 개발, 세무·노무·특허·법률 등 소상공인 경쟁력 강화 지원",온라인 신청,"사업자등록증, 임대차 계약서 등",소상공인시장진흥공단 (☎  042-363-7833),2022-06-24,202210061351
고용-창업,이용권,타사이트신청,149200000010,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/149200000010?administOrgCd=ALL,신용보증지원,보증․담보 여력이 없는 근로자 등에게 신용보증지원을 통한 정책 자금 융통을 원활히 하여 소득 격차 해소와 생활 안정에 기여,중앙부처,,이용권,접수기관 별 상이,사업장관할 근로복지공단 각 지역본부 및 지사,근로복지공단 (☎ 1588-0075),"○ 대상자: 신용보증지원 대상 융자사업(생활안정자금융자, 직업훈련생계비대부, 산재근로자생활안정자금융자)의 대상자로 선정된 자. 단, 아래 해당하는 자는 제외 - 한국신용정보원의 금융기관 신용정보관리규약에 따라 연체, 대위변제․대지급, 부도, 금융 질서 문란, 공공기록 및 특수기록정보 등의 신용정보가 등록된 자 - 공단으로부터 신용보증지원을 받은 후 부정대부신청, 용도 외 사용 등으로 대부 결정이 취소된 사실이 있는 자 - 외국인, 재외동포(재외국민 및 외국 국적 동포를 말함)  ○ 지원한도: 융자사업별 한도액으로 하되, 1인당 2,000만 원 이내",지원대상과 동일,○ 근로자 대상 정책 자금 융자사업에 대하여 근로복지공단에서 신용보증을 지원,○ 인터넷 또는 방문 신청 ○ 신청서 작성·제출 →  접수 →  확인 및 검토 →  선정·불 선정 통지,신용보증 신청서 및 약정서,근로복지공단 (☎  1588-0075),2020-12-17,202210061351
고용-창업,이용권,타사이트신청,142000000088,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/142000000088?administOrgCd=ALL,소상공인 재기지원,"소상공인 폐업부담 경감 및 원활한 재도전(취업, 업종전환·재창업) 여건 마련을 위한 사업정리컨설팅, 점포철거비 지원, 교육 등 지원",중앙부처,,이용권,사업공고에 따름,소상공인시장진흥공단,소상공인시장진흥공단 재기지원실 (☎ 042-363-7868),폐업(예정) 소상공인,취·창업 의사가 있는 폐업 또는 폐업 예정 소상공인,"○ (폐업) 소상공인 폐업에 대한 점포철거지원과 집기･시설 처분 방법, 사업장 양수도 등 컨설팅 및 법률자문 지원 ○ (취업) 폐업(예정) 소상공인에 개인별 취업 역량강화 교육과 구직 촉진을 위한 전직 지원 ○ (업종전환･재창업) 특화 업종 실무 등 교육 지원 및 재창업 성공률 제고를 위해 마케팅, 상권 분석 등 전문가 1:1 또는 그룹 멘토링 지원",온라인 신청,사업자등록증(폐업사살증명원) 등,소상공인시장진흥공단 재기지원실 (☎  042-363-7868),2022-02-15,202210061351
